InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
573769,23350,ROLL WRAP VINTAGE SPOT ,12,2011-11-01 10:04:00,1.25,13292,United Kingdom,15.0
541221,22111,SCOTTIE DOG HOT WATER BOTTLE,8,2011-01-14 14:28:00,5.79,15281,United Kingdom,46.32
571412,23427,STOOL HOME SWEET HOME ,3,2011-10-17 12:33:00,12.5,17734,United Kingdom,37.5
556495,21899,"KEY FOB , GARAGE DESIGN",1,2011-06-12 15:14:00,0.65,18069,United Kingdom,0.65
577613,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-11-21 10:02:00,0.55,14911,EIRE,13.200000000000001
581425,21065,BOOM BOX SPEAKER GIRLS,1,2011-12-08 15:31:00,1.25,14796,United Kingdom,1.25
568674,23546,WRAP PAISLEY PARK ,25,2011-09-28 13:30:00,0.42,12708,Germany,10.5
561217,23170,REGENCY TEA PLATE ROSES ,2,2011-07-25 17:09:00,3.29,15281,United Kingdom,6.58
572217,84600,NEW BAROQUE JEWELLERY BOX ,1,2011-10-21 13:03:00,7.95,15311,United Kingdom,7.95
568139,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-09-25 10:46:00,2.08,13083,United Kingdom,24.96
571850,85053,FRENCH ENAMEL CANDLEHOLDER,2,2011-10-19 12:54:00,2.1,14698,United Kingdom,4.2
555406,90162D,ANT SILVER PURPLE BOUDICCA RING,3,2011-06-02 19:50:00,2.95,17231,United Kingdom,8.850000000000001
559674,22995,TRAVEL CARD WALLET SUKI,3,2011-07-11 14:16:00,0.42,15856,United Kingdom,1.26
574074,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,2,2011-11-02 15:33:00,2.46,15281,United Kingdom,4.92
561241,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-07-26 11:00:00,0.55,13930,United Kingdom,13.200000000000001
538071,90039D,FIRE POLISHED GLASS BRACELET GREEN,1,2010-12-09 14:09:00,3.81,15281,United Kingdom,3.81
561645,22945,CHRISTMAS METAL TAGS ASSORTED ,144,2011-07-28 15:16:00,0.72,14911,EIRE,103.67999999999999
547663,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,3,2011-03-24 13:16:00,2.95,16022,United Kingdom,8.850000000000001
579444,23241,TREASURE TIN GYMKHANA DESIGN,6,2011-11-29 13:40:00,2.08,13999,United Kingdom,12.48
577517,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-11-20 13:16:00,4.25,16710,United Kingdom,12.75
545830,21904,HOUSE WRECKING METAL SIGN ,3,2011-03-07 13:10:00,2.1,17634,United Kingdom,6.300000000000001
539447,22356,CHARLOTTE BAG PINK POLKADOT,10,2010-12-17 16:00:00,0.85,12395,Belgium,8.5
542541,22668,PINK BABY BUNTING,2,2011-01-28 14:25:00,5.79,15281,United Kingdom,11.58
561085,23321,SMALL WHITE HEART OF WICKER,12,2011-07-25 09:26:00,1.65,14367,United Kingdom,19.799999999999997
551885,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,2011-05-05 09:18:00,2.95,16700,United Kingdom,35.400000000000006
577126,23084,RABBIT NIGHT LIGHT,24,2011-11-17 19:22:00,1.79,12406,Denmark,42.96
560434,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2011-07-18 15:56:00,6.63,15281,United Kingdom,6.63
573137,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2011-10-27 17:15:00,4.96,15281,United Kingdom,4.96
546648,20961,STRAWBERRY BATH SPONGE ,1,2011-03-15 14:15:00,2.46,15281,United Kingdom,2.46
574481,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,1,2011-11-04 12:45:00,0.83,18022,United Kingdom,0.83
547358,22896,PEG BAG APPLES DESIGN,2,2011-03-22 12:25:00,2.55,15998,United Kingdom,5.1
559125,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-06 12:32:00,1.65,13985,United Kingdom,16.5
539434,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-17 14:41:00,4.21,15281,United Kingdom,4.21
571031,84876B,GREEN HEART COMPACT MIRROR,3,2011-10-13 12:30:00,1.25,15005,United Kingdom,3.75
540501,84951B,SET OF 4 BLACK LOVEBIRD COASTERS,12,2011-01-09 10:43:00,0.85,13162,United Kingdom,10.2
559529,20723,STRAWBERRY CHARLOTTE BAG,4,2011-07-10 12:03:00,0.85,14808,United Kingdom,3.4
576693,23086,ZINC  STAR T-LIGHT HOLDER ,144,2011-11-16 12:22:00,1.04,13199,United Kingdom,149.76
538349,70006,LOVE HEART POCKET WARMER,1,2010-12-10 14:59:00,3.36,15281,United Kingdom,3.36
536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36
560393,84508C,BLUE CIRCLES DESIGN TEDDY,2,2011-07-18 13:33:00,2.55,14808,United Kingdom,5.1
552493,23199,JUMBO BAG APPLES,1,2011-05-09 16:21:00,4.13,15281,United Kingdom,4.13
552285,22493,PAINT YOUR OWN CANVAS SET,1,2011-05-08 12:58:00,1.65,14684,United Kingdom,1.65
554160,21155,RED RETROSPOT PEG BAG,2,2011-05-23 11:49:00,2.55,17841,United Kingdom,5.1
577506,47504H,ENGLISH ROSE SPIRIT LEVEL ,2,2011-11-20 12:40:00,0.79,13212,United Kingdom,1.58
564818,22631,CIRCUS PARADE LUNCH BOX ,1,2011-08-30 12:10:00,4.13,15281,United Kingdom,4.13
543518,22549,PICTURE DOMINOES,144,2011-02-09 11:21:00,1.25,12753,Japan,180.0
551009,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-04-26 09:50:00,2.46,15281,United Kingdom,2.46
550622,22549,PICTURE DOMINOES,1,2011-04-19 13:49:00,1.45,13735,United Kingdom,1.45
540372,21726,MULTI HEARTS  STICKERS,12,2011-01-06 16:41:00,0.85,13081,United Kingdom,10.2
561906,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-08-01 10:03:00,3.75,12921,United Kingdom,15.0
575930,22348,TEA BAG PLATE RED RETROSPOT,1,2011-11-11 17:58:00,1.63,15281,United Kingdom,1.63
578347,23425,STORAGE TIN HOME SWEET HOME,1,2011-11-24 09:26:00,4.96,15281,United Kingdom,4.96
577107,23203,JUMBO BAG VINTAGE DOILY ,10,2011-11-17 17:30:00,2.08,16558,United Kingdom,20.8
537036,22625,RED KITCHEN SCALES,1,2010-12-03 17:28:00,8.5,15545,United Kingdom,8.5
567370,20750,RED RETROSPOT MINI CASES,24,2011-09-20 09:13:00,6.35,14236,United Kingdom,152.39999999999998
541241,22192,BLUE DINER WALL CLOCK,1,2011-01-16 11:08:00,8.5,13782,United Kingdom,8.5
539586,22782,SET 3 WICKER STORAGE BASKETS ,16,2010-12-20 13:08:00,9.95,14298,United Kingdom,159.2
557595,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-06-21 11:19:00,12.75,15507,United Kingdom,25.5
565841,20979,36 PENCILS TUBE RED RETROSPOT,2,2011-09-07 12:04:00,2.46,15281,United Kingdom,4.92
575117,21756,BATH BUILDING BLOCK WORD,1,2011-11-08 14:22:00,6.25,12748,United Kingdom,6.25
544481,22855,FINE WICKER HEART ,12,2011-02-21 10:36:00,1.25,18155,United Kingdom,15.0
544670,22251,BIRDHOUSE DECORATION MAGIC GARDEN,2,2011-02-22 15:22:00,1.25,16161,United Kingdom,2.5
580650,22185,SLATE TILE NATURAL HANGING,12,2011-12-05 13:30:00,0.79,14401,United Kingdom,9.48
543651,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2011-02-11 10:06:00,1.25,16306,United Kingdom,15.0
563540,22608,PENS ASSORTED FUNKY JEWELED ,36,2011-08-17 12:04:00,0.19,12473,Germany,6.84
571061,20679,EDWARDIAN PARASOL RED,1,2011-10-13 14:33:00,12.46,15281,United Kingdom,12.46
543507,21931,JUMBO STORAGE BAG SUKI,20,2011-02-09 10:49:00,1.95,15039,United Kingdom,39.0
550137,48188,DOORMAT WELCOME PUPPIES,2,2011-04-14 13:59:00,7.95,12477,Germany,15.9
558647,22384,LUNCH BAG PINK POLKADOT,10,2011-07-01 10:39:00,1.65,14868,United Kingdom,16.5
540458,22711,WRAP CIRCUS PARADE,25,2011-01-07 12:28:00,0.42,12501,Germany,10.5
552678,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2011-05-10 15:08:00,4.13,15281,United Kingdom,8.26
540512,84849D,HOT BATHS SOAP HOLDER,1,2011-01-09 11:39:00,1.69,17114,United Kingdom,1.69
568408,20677,PINK POLKADOT BOWL,7,2011-09-27 10:40:00,2.46,15281,United Kingdom,17.22
574685,23570,TRADITIONAL PICK UP STICKS GAME ,12,2011-11-06 12:59:00,1.25,17581,United Kingdom,15.0
561369,46776D,WOVEN SUNSET CUSHION COVER ,1,2011-07-26 16:22:00,4.13,15281,United Kingdom,4.13
572045,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-10-20 12:11:00,4.25,14527,United Kingdom,8.5
579671,23073,GEORGIAN TRINKET BOX,1,2011-11-30 12:38:00,12.5,12966,United Kingdom,12.5
563193,22723,SET OF 6 HERB TINS SKETCHBOOK,1,2011-08-12 16:30:00,8.29,15281,United Kingdom,8.29
543983,82583,HOT BATHS METAL SIGN,12,2011-02-15 09:20:00,2.1,16979,United Kingdom,25.200000000000003
572835,23581,JUMBO BAG PAISLEY PARK,100,2011-10-26 11:49:00,1.79,17428,United Kingdom,179.0
555722,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-06-06 16:06:00,7.46,15281,United Kingdom,7.46
555896,21871,SAVE THE PLANET MUG,6,2011-06-07 16:04:00,1.25,15640,United Kingdom,7.5
569653,22336,DOVE DECORATION PAINTED ZINC ,96,2011-10-05 12:52:00,0.19,12451,Switzerland,18.240000000000002
575930,22604,SET OF 4 NAPKIN CHARMS CUTLERY,2,2011-11-11 17:58:00,4.96,15281,United Kingdom,9.92
553225,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-05-16 10:41:00,2.08,16912,United Kingdom,24.96
559142,22424,ENAMEL BREAD BIN CREAM,1,2011-07-06 14:01:00,12.75,17719,United Kingdom,12.75
550500,84988,SET OF 72 PINK HEART PAPER DOILIES,1,2011-04-18 15:26:00,2.92,15281,United Kingdom,2.92
562113,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,2011-08-02 16:11:00,1.63,15281,United Kingdom,3.26
549746,22672,FRENCH BATHROOM SIGN BLUE METAL,96,2011-04-12 10:38:00,1.45,15251,United Kingdom,139.2
570253,23040,PAPER LANTERN 9 POINT SNOW STAR ,120,2011-10-10 09:18:00,4.95,14156,EIRE,594.0
559034,21156,RETROSPOT CHILDRENS APRON,8,2011-07-05 14:56:00,1.95,13109,United Kingdom,15.6
569408,23351,ROLL WRAP 50'S CHRISTMAS,72,2011-10-04 09:26:00,1.04,13881,United Kingdom,74.88
570246,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2,2011-10-09 16:22:00,1.25,16921,United Kingdom,2.5
537237,21231,SWEETHEART CERAMIC TRINKET BOX,6,2010-12-06 09:58:00,2.51,15281,United Kingdom,15.059999999999999
575932,23154,SET OF 4 JAM JAR MAGNETS,2,2011-11-13 10:35:00,2.08,16923,United Kingdom,4.16
542131,22074,6 RIBBONS SHIMMERING PINKS ,24,2011-01-25 15:55:00,0.42,16133,United Kingdom,10.08
574643,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2011-11-06 11:25:00,0.42,17387,United Kingdom,3.36
564758,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2011-08-30 10:39:00,2.92,15281,United Kingdom,2.92
554968,22831,WHITE BROCANTE SOAP DISH,3,2011-05-27 16:24:00,2.95,17961,United Kingdom,8.850000000000001
538714,85049D,BRIGHT BLUES RIBBONS ,4,2010-12-14 11:01:00,1.25,14524,United Kingdom,5.0
574091,23581,JUMBO BAG PAISLEY PARK,10,2011-11-03 09:20:00,2.08,17086,United Kingdom,20.8
576607,POST,POSTAGE,4,2011-11-15 15:42:00,18.0,12474,Germany,72.0
550775,23132,SMALL IVORY HEART WALL ORGANISER,12,2011-04-20 13:18:00,4.95,15805,United Kingdom,59.400000000000006
563905,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,4,2011-08-21 11:43:00,4.95,13267,United Kingdom,19.8
551125,90143,SILVER BRACELET W PASTEL FLOWER,4,2011-04-26 12:47:00,7.5,17277,United Kingdom,30.0
573076,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-10-27 14:05:00,3.75,13488,United Kingdom,15.0
563016,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,2011-08-11 12:44:00,0.85,15358,United Kingdom,10.2
581129,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011-12-07 12:48:00,2.49,15498,United Kingdom,14.940000000000001
562031,21621,VINTAGE UNION JACK BUNTING,3,2011-08-01 17:37:00,8.5,16984,United Kingdom,25.5
562256,22425,ENAMEL COLANDER CREAM,3,2011-08-03 15:14:00,4.95,15152,United Kingdom,14.850000000000001
560726,22155,STAR DECORATION RUSTIC,1,2011-07-20 14:16:00,0.42,17962,United Kingdom,0.42
551277,21899,"KEY FOB , GARAGE DESIGN",2,2011-04-27 13:06:00,0.65,13637,United Kingdom,1.3
567673,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2011-09-21 15:43:00,1.25,15281,United Kingdom,1.25
559038,21232,STRAWBERRY CERAMIC TRINKET BOX,6,2011-07-05 15:31:00,3.29,15281,United Kingdom,19.740000000000002
578261,82484,WOOD BLACK BOARD ANT WHITE FINISH,24,2011-11-23 13:24:00,6.75,14216,United Kingdom,162.0
541423,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2011-01-17 17:54:00,4.13,15281,United Kingdom,4.13
566781,22553,PLASTERS IN TIN SKULLS,12,2011-09-15 10:11:00,1.65,17333,United Kingdom,19.799999999999997
568945,23133,LARGE IVORY HEART WALL ORGANISER,4,2011-09-29 14:52:00,8.25,14239,United Kingdom,33.0
563638,21987,PACK OF 6 SKULL PAPER CUPS,5,2011-08-18 10:36:00,0.65,15311,United Kingdom,3.25
581405,21383,PACK OF 12 STICKY BUNNIES,1,2011-12-08 13:50:00,0.65,13521,United Kingdom,0.65
553375,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,12,2011-05-16 14:53:00,1.25,14911,EIRE,15.0
569544,20657,TROPICAL LUGGAGE TAG,1,2011-10-04 16:33:00,2.46,15281,United Kingdom,2.46
559817,21786,POLKADOT RAIN HAT ,1,2011-07-12 16:20:00,0.83,15281,United Kingdom,0.83
556942,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,12,2011-06-15 16:42:00,0.85,14222,United Kingdom,10.2
548712,22557,PLASTERS IN TIN VINTAGE PAISLEY ,10,2011-04-03 14:42:00,1.65,17050,United Kingdom,16.5
566562,22732,3D VINTAGE CHRISTMAS STICKERS ,12,2011-09-13 12:18:00,1.25,17365,United Kingdom,15.0
552804,22768,FAMILY PHOTO FRAME CORNICE,2,2011-05-11 12:32:00,9.95,15615,United Kingdom,19.9
558614,22329,ROUND CONTAINER SET OF 5 RETROSPOT,5,2011-06-30 15:56:00,1.63,15281,United Kingdom,8.149999999999999
561719,23016,GLASS TWIST BON BON JAR,2,2011-07-29 12:09:00,7.85,17519,United Kingdom,15.7
539437,21479,WHITE SKULL HOT WATER BOTTLE ,5,2010-12-17 14:54:00,3.75,15281,United Kingdom,18.75
575739,22592,CARDHOLDER HOLLY WREATH METAL,3,2011-11-11 09:05:00,7.46,15281,United Kingdom,22.38
550464,22907,PACK OF 20 NAPKINS PANTRY DESIGN,4,2011-04-18 13:30:00,0.85,16550,United Kingdom,3.4
575837,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-11-11 11:37:00,0.42,12748,United Kingdom,10.08
567911,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-09-22 17:00:00,0.29,14854,United Kingdom,6.959999999999999
581419,22529,MAGIC DRAWING SLATE GO TO THE FAIR ,24,2011-12-08 15:03:00,0.42,15484,United Kingdom,10.08
564840,85017B,ENVELOPE 50 BLOSSOM IMAGES,1,2011-08-30 12:49:00,0.83,15281,United Kingdom,0.83
547042,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1,2011-03-20 11:00:00,1.63,15281,United Kingdom,1.63
536990,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-03 15:14:00,1.65,12793,Portugal,16.5
579187,22196,SMALL HEART MEASURING SPOONS,2,2011-11-28 15:31:00,1.63,15281,United Kingdom,3.26
541830,84510E,SET OF 4 GREEN CAROUSEL COASTERS,2,2011-01-21 17:09:00,2.46,15281,United Kingdom,4.92
554855,16156S,WRAP PINK FAIRY CAKES ,25,2011-05-27 09:48:00,0.42,15172,United Kingdom,10.5
545217,22161,HEART DECORATION RUSTIC HANGING ,1,2011-02-28 16:59:00,0.79,15281,United Kingdom,0.79
559809,21288,STRIPEY CHOCOLATE NESTING BOXES,2,2011-07-12 14:57:00,2.95,16409,United Kingdom,5.9
563753,POST,POSTAGE,3,2011-08-19 10:51:00,18.0,12513,France,54.0
544670,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-02-22 15:22:00,9.95,16161,United Kingdom,19.9
545027,21866,UNION JACK FLAG LUGGAGE TAG,4,2011-02-25 14:59:00,3.29,15281,United Kingdom,13.16
541987,22508,DOORSTOP RETROSPOT HEART,2,2011-01-24 16:05:00,3.75,14130,United Kingdom,7.5
556080,21041,RED RETROSPOT OVEN GLOVE DOUBLE,11,2011-06-08 15:21:00,6.63,15281,United Kingdom,72.92999999999999
578032,23082,SET 6 PAPER TABLE LANTERN HEARTS ,6,2011-11-22 13:41:00,3.75,16633,United Kingdom,22.5
568152,23296,SET OF 6 TEA TIME BAKING CASES,4,2011-09-25 11:40:00,1.25,16480,United Kingdom,5.0
572540,23100,SILVER BELLS TABLE DECORATION,2,2011-10-24 16:17:00,2.46,15281,United Kingdom,4.92
578366,22668,PINK BABY BUNTING,5,2011-11-24 10:53:00,2.95,16173,United Kingdom,14.75
544455,22084,PAPER CHAIN KIT EMPIRE,4,2011-02-20 13:18:00,2.95,13097,United Kingdom,11.8
549155,22251,BIRDHOUSE DECORATION MAGIC GARDEN,2,2011-04-06 17:08:00,2.46,15281,United Kingdom,4.92
541424,84978,HANGING HEART JAR T-LIGHT HOLDER,2,2011-01-17 17:57:00,2.46,15281,United Kingdom,4.92
558068,22920,HERB MARKER BASIL,1,2011-06-24 15:51:00,1.63,15281,United Kingdom,1.63
560300,90030A,SPOTTED WHITE NATURAL SEED NECKLACE,6,2011-07-18 10:29:00,1.0,14911,EIRE,6.0
545084,20819,SILVER TEDDY BEAR,4,2011-02-28 10:55:00,3.75,12458,Switzerland,15.0
542623,85150,LADIES & GENTLEMEN METAL SIGN,6,2011-01-31 09:41:00,2.55,17239,United Kingdom,15.299999999999999
568059,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,2,2011-09-23 12:58:00,1.45,13097,United Kingdom,2.9
539461,22835,HOT WATER BOTTLE I AM SO POORLY,4,2010-12-19 10:21:00,4.65,17243,United Kingdom,18.6
561214,22269,EGG CUP NATURAL CHICKEN,4,2011-07-25 17:00:00,0.83,15281,United Kingdom,3.32
564216,22908,PACK OF 20 NAPKINS RED APPLES,12,2011-08-24 09:23:00,0.85,12642,Germany,10.2
579787,20750,RED RETROSPOT MINI CASES,1,2011-11-30 15:33:00,16.63,15281,United Kingdom,16.63
537622,85014B,RED RETROSPOT UMBRELLA,2,2010-12-07 14:30:00,5.95,13173,United Kingdom,11.9
561371,22629,SPACEBOY LUNCH BOX ,1,2011-07-26 16:25:00,4.13,15281,United Kingdom,4.13
541592,22211,WOOD STAMP SET FLOWERS,2,2011-01-19 15:08:00,1.63,15281,United Kingdom,3.26
543467,17084N,FAIRY DREAMS INCENSE ,1,2011-02-08 14:35:00,0.42,15281,United Kingdom,0.42
560579,21907,I'M ON HOLIDAY METAL SIGN,2,2011-07-19 15:13:00,2.1,15867,United Kingdom,4.2
560915,21930,JUMBO STORAGE BAG SKULLS,10,2011-07-21 18:19:00,2.08,13313,United Kingdom,20.8
558774,23298,SPOTTY BUNTING,2,2011-07-04 10:17:00,10.79,15281,United Kingdom,21.58
562688,20773,BLUE PAISLEY NOTEBOOK,3,2011-08-08 13:53:00,1.65,13869,United Kingdom,4.949999999999999
552313,23052,RECYCLED ACAPULCO MAT TURQUOISE,4,2011-05-08 16:03:00,8.25,13139,United Kingdom,33.0
536943,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-03 12:11:00,1.69,17884,United Kingdom,13.52
576066,23252,VINTAGE RED ENAMEL TRIM JUG ,1,2011-11-13 15:44:00,3.75,16898,United Kingdom,3.75
548308,22343,PARTY PIZZA DISH RED RETROSPOT,6,2011-03-30 12:00:00,0.85,17220,United Kingdom,5.1
562046,22254,FELT TOADSTOOL LARGE,12,2011-08-02 10:34:00,1.25,12378,Switzerland,15.0
567890,23375,50'S CHRISTMAS PAPER GIFT BAG,10,2011-09-22 15:40:00,0.82,14125,United Kingdom,8.2
575202,23326,HANGING MINI COLOURED BOTTLES,48,2011-11-09 10:14:00,0.63,13018,United Kingdom,30.240000000000002
554694,35004B,SET OF 3 BLACK FLYING DUCKS,1,2011-05-25 17:06:00,5.79,15281,United Kingdom,5.79
568868,23401,RUSTIC MIRROR WITH LACE HEART,2,2011-09-29 12:00:00,6.25,12957,United Kingdom,12.5
555562,20886,BOX OF 9 PEBBLE CANDLES,1,2011-06-05 14:45:00,1.95,17841,United Kingdom,1.95
547726,85099F,JUMBO BAG STRAWBERRY,100,2011-03-25 10:49:00,1.65,16029,United Kingdom,165.0
548194,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-03-29 15:30:00,5.79,15281,United Kingdom,5.79
546993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-03-18 13:19:00,2.95,17921,United Kingdom,14.75
572074,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,6,2011-10-20 13:54:00,0.85,16284,United Kingdom,5.1
543546,20676,RED RETROSPOT BOWL,2,2011-02-09 16:52:00,2.46,15281,United Kingdom,4.92
564838,20723,STRAWBERRY CHARLOTTE BAG,1,2011-08-30 12:43:00,1.63,15281,United Kingdom,1.63
538566,22835,HOT WATER BOTTLE I AM SO POORLY,12,2010-12-13 11:21:00,4.65,15281,United Kingdom,55.800000000000004
550329,22595,GINGHAM HEART DECORATION,12,2011-04-17 13:20:00,0.85,13951,United Kingdom,10.2
560035,48194,DOORMAT HEARTS,6,2011-07-14 13:41:00,7.95,17706,United Kingdom,47.7
538177,22203,MILK PAN RED RETROSPOT,1,2010-12-10 09:51:00,7.62,15281,United Kingdom,7.62
555194,22090,PAPER BUNTING RETROSPOT,40,2011-06-01 11:13:00,2.55,16422,United Kingdom,102.0
564755,22090,PAPER BUNTING RETROSPOT,1,2011-08-30 10:31:00,5.79,15281,United Kingdom,5.79
562011,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,32,2011-08-01 13:54:00,4.25,16745,United Kingdom,136.0
570272,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-10-10 10:45:00,1.25,14297,United Kingdom,15.0
544474,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,2011-02-21 09:52:00,1.25,12423,Belgium,15.0
579125,21619,4 VANILLA BOTANICAL CANDLES,12,2011-11-28 12:19:00,1.25,14215,United Kingdom,15.0
564630,22580,ADVENT CALENDAR GINGHAM SACK,3,2011-08-26 11:53:00,5.95,13644,United Kingdom,17.85
578488,23275,SET OF 3 HANGING OWLS OLLIE BEAK,24,2011-11-24 12:53:00,1.25,12784,Portugal,30.0
578255,23494,VINTAGE DOILY DELUXE SEWING KIT ,6,2011-11-23 12:58:00,5.95,14675,United Kingdom,35.7
558761,22405,MONEY BOX POCKET MONEY DESIGN,1,2011-07-03 12:52:00,1.25,15033,United Kingdom,1.25
548150,22919,HERB MARKER MINT,10,2011-03-29 12:55:00,0.65,17315,United Kingdom,6.5
573326,23079,TOADSTOOL BEDSIDE LIGHT ,4,2011-10-30 11:08:00,8.95,15298,United Kingdom,35.8
580367,21619,4 VANILLA BOTANICAL CANDLES,1,2011-12-02 16:39:00,3.29,15281,United Kingdom,3.29
538071,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-09 14:09:00,16.13,15281,United Kingdom,32.26
